Fold,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Case,Dice,IoU,HD95_mm,ASSD_mm,TP,FP,FN,N_Pred,N_Ref,Pred_Empty,Ref_Empty,Spacing_ZYX
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_001,0.5047575894879928,0.3375757575757576,18.925335044137167,3.5744247889293312,557,36,1057,593,1614,false,false,"(2.9999992847442627, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_003,0.8306485502171173,0.7103497843794921,2.1428983540425994,0.5814087171634916,5930,1176,1242,7106,7172,false,false,"(3.000004291534424, 0.9583333730697632, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_005,0.5814360770577933,0.40987654320987654,13.778003578583828,3.015712327104916,332,52,426,384,758,false,false,"(3.0000009536743164, 0.9583332538604736, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_007,0.8908182567783868,0.8031310127689347,0.9583333730697632,0.40030912019590337,9183,966,1285,10149,10468,false,false,"(3.000000238418579, 0.9583333730697632, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_009,0.7620770851406617,0.615609482620535,5.653324208979753,1.488570918185549,46119,1464,27333,47583,73452,false,false,"(3.0000007152557373, 0.9583333134651184, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_010,0.5098493626882966,0.3421461897356143,18.12709012194274,3.624091322301993,1540,167,2794,1707,4334,false,false,"(2.999997138977051, 0.9583333730697632, 0.9583333730697632)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_012,0.4926372155287818,0.3268206039076377,17.257165516394334,3.6108938871894094,184,12,367,196,551,false,false,"(3.0000009536743164, 0.9583333134651184, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_013,0.886760232669833,0.796558170749245,1.35528788488262,0.34105065026189696,16617,1965,2279,18582,18896,false,false,"(3.0000007152557373, 0.9583332538604736, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_014,0.7689682629962462,0.624653483644428,3.14934957407034,0.6566052074113032,3380,235,1796,3615,5176,false,false,"(3.0, 0.9583333134651184, 0.9583333134651184)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_015,0.6199536897211316,0.4492267289174205,8.624999311566352,1.6420270154922862,3079,451,3324,3530,6403,false,false,"(3.0, 0.9583333134651184, 0.9583332538604736)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_016,0.838175166774263,0.7214298944248935,2.1428981674505443,0.49645857999496124,3895,723,781,4618,4676,false,false,"(3.000000476837158, 0.9583331942558289, 0.9583331942558289)"
all,10,flair_only,FLAIR,T1,1,WMH2017_Utrecht_018,0.7141807494489346,0.5554285714285714,6.635896427804966,1.437762857938616,486,98,291,584,777,false,false,"(3.0, 0.9583333134651184, 0.9583333134651184)"
