Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,0,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,WT,251,251,0.933543603931708,0.881090106749788,1.9543842476584343,,0.9028126949822902,1,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,TC,251,251,0.9148251978468156,0.8667640418118069,1.2558508903360213,,0.9028126949822902,1,Fold case mean; NaN excluded
BraTS2021,Fold,0,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,ET,251,251,0.8600692831683471,0.793143217687871,1.9161754198424137,,0.9028126949822902,1,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,WT,250,250,0.9076592909172698,0.8413751023579452,2.114765648493125,,0.7392854368718518,0.8208839940954091,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,TC,250,250,0.7477707439240648,0.6259392159147379,5.099623169416654,,0.7392854368718518,0.8208839940954091,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,ET,250,250,0.5624262757742206,0.4178299964187973,6.516610514164564,,0.7392854368718518,0.8208839940954091,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,WT,250,250,0.7830816589340527,0.6657717231095096,7.542640565292171,,0.8324898140623137,0.9243757952311372,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,TC,250,250,0.8781684660021231,0.8152110113053691,3.444768096638716,,0.8324898140623137,0.9243757952311372,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0100,drop_t1_t2_flair,T1ce,FLAIR+T1+T2,3,ET,250,250,0.8362193172507655,0.7555757219067557,3.3669587060881376,,0.8324898140623137,0.9243757952311372,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,WT,250,250,0.779224066659568,0.6601369029921417,8.164787456767122,,0.6551448604617692,0.7274564098577785,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,TC,250,250,0.6867642993191048,0.5568445037064669,8.608135608537797,,0.6551448604617692,0.7274564098577785,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0010,drop_t1ce_t2_flair,T1,FLAIR+T1ce+T2,3,ET,250,250,0.499446215406635,0.3563946654470676,9.783153268591448,,0.6551448604617692,0.7274564098577785,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,WT,250,250,0.8699203006018523,0.7843908935351175,3.4358820002002104,,0.7150574864664305,0.7939818860521323,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0001,drop_t1_t1ce_flair,T2,FLAIR+T1ce+T1,3,TC,250,250,0.7204883445041321,0.5987774924963171,6.236341045393107,,0.7150574864664305,0.7939818860521323,Fold case mean; NaN excluded
